time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-03-18,14.5,7.8,21.7,0.0,0.0,65.0,6.5,,1024.9,
2019-03-19,15.2,8.3,22.2,0.0,0.0,,4.7,,1024.0,
2019-03-20,17.3,12.2,25.6,0.0,0.0,32.0,4.0,,1023.0,
2019-03-21,18.4,10.0,26.7,0.0,0.0,198.0,3.6,,1022.8,
2019-03-22,18.8,10.0,27.2,0.0,0.0,,7.9,,1019.6,
2019-03-23,19.8,16.7,23.9,0.0,0.0,162.0,10.1,,1017.4,
2019-03-24,22.0,18.9,28.3,0.0,0.0,178.0,8.6,,1016.9,
2019-03-25,22.9,17.8,27.8,0.0,0.0,351.0,8.3,,1018.8,
2019-03-26,19.2,13.3,26.1,0.0,0.0,48.0,6.1,,1024.5,
2019-03-27,18.7,11.7,26.1,0.0,0.0,,8.6,,1023.5,
2019-03-28,19.3,13.3,26.7,0.0,0.0,163.0,11.2,,1020.0,
2019-03-29,20.5,16.7,26.7,0.0,0.0,166.0,11.2,,1014.2,
2019-03-30,17.0,10.0,21.7,0.0,0.0,307.0,14.0,,1015.7,
